scope,horizon_days,baseline,split_id,feature,imputer_median,scaler_mean_after_imputation,scaler_scale_after_imputation,missing_train,missing_test
development,20,B2,dev_00,vix_close,17.05,18.4298444976,5.91970351695,3,0
development,20,B2,dev_00,mkt_return_504d,0.339539081157,0.384391478799,0.175798286665,0,0
development,20,B2,dev_00,bear_state,0,0,1,0,0
development,20,B2,dev_00,mkt_variance_126d,5.2346895873e-05,6.93761230341e-05,5.11979620903e-05,0,0
development,20,B2,dev_00,bear_x_mkt_variance_126d,0,0,1,0,0
development,20,B2,dev_00,mkt_vol_percentile_126d,0.496582030697,0.488466678516,0.260531081147,0,0
development,20,B2,dev_00,mkt_return_1d,0.0008,0.000667384370016,0.00840501321983,0,0
development,20,B2,dev_00,mkt_return_5d,0.00433690510603,0.00336929950247,0.019721911389,0,0
development,20,B2,dev_00,mkt_return_20d,0.0141346145862,0.0134258273241,0.0383342281872,0,0
development,20,B2,dev_00,stress_rebound,0,0,1,0,0
development,20,B2,dev_00,loser_leg_return_5d,0.00230096145923,0.00192539189806,0.0231182817718,0,0
development,20,B2,dev_00,loser_leg_return_20d,0.00995341388545,0.00802208712325,0.0550805462439,0,0
development,20,B2,dev_00,loser_leg_vol_21d,0.00593185307174,0.00696148140705,0.00351100966149,0,0
development,20,B2,dev_00,loser_minus_winner_vol_21d,-0.0010585241218,-0.000999631450547,0.00206057107449,0,0
development,20,B2,dev_00,formation_spread,0.196943113931,0.213036725717,0.169087580334,0,0
development,20,B2,dev_00,mom_mkt_beta_126d,0.230610736066,0.199551177695,0.160681039774,0,0
development,20,B2,dev_00,mom_mkt_corr_126d,0.445094987066,0.344741714706,0.258893895727,0,0
development,20,B2,dev_00,beta_change_21d,-0.00177400543605,0.000597639490801,0.0592420567032,0,0
development,20,B1,dev_01,bear_state,0,0.156125498008,0.362974278537,0,0
development,20,B1,dev_01,mkt_variance_126d,6.22237784127e-05,0.000100895226184,8.21319180727e-05,0,0
development,20,B1,dev_01,bear_x_mkt_variance_126d,0,3.31666868532e-05,8.37994444178e-05,0,0
development,20,B2,dev_01,mom_return_21d,0.0101847438059,0.0101281007495,0.045745840811,0,0
development,20,B2,dev_01,mom_return_63d,0.0249320041538,0.0306922209963,0.0767482573219,0,0
development,20,B2,dev_01,mom_return_126d,0.051707789842,0.06236508984,0.108449292282,0,0
development,20,B2,dev_01,mom_drawdown_252d,-0.0361927957786,-0.0633639822798,0.0686906552987,0,0
development,20,B2,dev_01,mom_vol_21d,0.0044951667071,0.00592287228921,0.00414904020396,0,0
development,20,B2,dev_01,mom_vol_63d,0.00463382728163,0.00615937942057,0.00399123999175,0,0
development,20,B2,dev_01,vix_close,18.46,19.4849800797,6.39150594201,3,0
development,20,B2,dev_01,mkt_return_504d,0.2962888601,0.270156953034,0.26493748359,0,0
development,20,B2,dev_01,bear_state,0,0.156125498008,0.362974278537,0,0
development,20,B2,dev_01,mkt_variance_126d,6.22237784127e-05,0.000100895226184,8.21319180727e-05,0,0
development,20,B2,dev_01,bear_x_mkt_variance_126d,0,3.31666868532e-05,8.37994444178e-05,0,0
development,20,B2,dev_01,mkt_vol_percentile_126d,0.565992349363,0.577571506563,0.266769228177,0,0
development,20,B2,dev_01,mkt_return_1d,0.0007,0.000453261952191,0.0100226287455,0,0
development,20,B2,dev_01,mkt_return_5d,0.00339302026649,0.00227756548795,0.0224999015476,0,0
development,20,B2,dev_01,mkt_return_20d,0.0121779859752,0.00899156404539,0.0431758573472,0,0
development,20,B2,dev_01,stress_rebound,0,0.00159375275003,0.00755242724006,0,0
development,20,B2,dev_01,loser_leg_return_5d,0.0020219245281,0.00150428051801,0.0286749554677,0,0
development,20,B2,dev_01,loser_leg_return_20d,0.00849167217204,0.00637620236835,0.0653387254127,0,0
development,20,B2,dev_01,loser_leg_vol_21d,0.00733206781905,0.00937501915968,0.00595115404623,0,0
development,20,B2,dev_01,loser_minus_winner_vol_21d,-0.000918582747001,-1.07982951487e-06,0.00473088916366,0,0
development,20,B2,dev_01,formation_spread,0.200703641099,0.18641158894,0.238825286939,0,0
development,20,B2,dev_01,mom_mkt_beta_126d,0.196896686908,0.100791621686,0.347256574035,0,0
development,20,B2,dev_01,mom_mkt_corr_126d,0.333790672363,0.18797909656,0.458252584893,0,0
development,20,B2,dev_01,beta_change_21d,0.00137906019672,0.000130934313081,0.0784958097228,0,0
development,20,B1,dev_02,bear_state,0,0.204993667451,0.40369699498,0,0
development,20,B1,dev_02,mkt_variance_126d,7.46621231746e-05,0.000134508548991,0.00017699836736,0,0
development,20,B1,dev_02,bear_x_mkt_variance_126d,0,6.60440302812e-05,0.00018855349445,0,0
development,20,B2,dev_02,mom_return_21d,0.00828493462188,0.00698201950277,0.0512887210226,0,0
development,20,B2,dev_02,mom_return_63d,0.0214892330585,0.0212713358987,0.0866588292707,0,0
development,20,B2,dev_02,mom_return_126d,0.0469716306033,0.0445198600787,0.128194408148,0,0
development,20,B2,dev_02,mom_drawdown_252d,-0.0428205074846,-0.0873883780529,0.123638519888,0,0
development,20,B2,dev_02,mom_vol_21d,0.00493131876499,0.00682230634338,0.00557354651313,0,0
development,20,B2,dev_02,mom_vol_63d,0.00514567859398,0.0070613706566,0.00538651538334,0,0
